category,product_name,vendor_name,product_capterra_url,url,rating,total_reviews,description,image,_source
Animation,Arnold,Autodesk,https://www.capterra.com/p/255144/Arnold/,https://www.capterra.com/p/255144/Arnold/,5,4,Rendering software that helps render detailed 3D characters and scenes. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/98acfc44-0290-420b-9f36-5387a37ff604.jpeg,https://www.capterra.com/animation-software
Animation,Animation Desk,Kdan Mobile Software,https://www.capterra.com/p/267321/Animation-Desk/,https://www.capterra.com/p/267321/Animation-Desk/,4.5,4,Animation production app which digital animators of all skill levels create and share storyboards and animations on mobile devices. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/c04334b4-f06b-4d79-b8ef-100773f7db4a.png,https://www.capterra.com/animation-software
3D Cad,V-Ray,Chaos,https://www.capterra.com/p/228828/V-Ray-Collection/,https://www.capterra.com/p/228828/V-Ray-Collection/,4.8,16,"Chaos? V-Ray? is a 3D rendering plugin available for SketchUp, 3ds Max, Maya, Cinema 4D, Rhino, Revit, and more. ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/0f725926-f36f-4ff9-9e22-8910901e7f4d.png,https://www.capterra.com/3d-cad-software
3D Architecture,HOVER,HOVER,https://www.capterra.com/p/239375/HOVER/,https://www.capterra.com/p/239375/HOVER/,4.5,6,"It is a 3D architecture solution that helps users create models, manage property portfolios, collaborate on tasks, manage labor, etc.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/84a2dcb5-202a-4210-9e60-b846b1287762.png,https://www.capterra.com/3d-architecture-software
Arborist,EZYTREEV,RA Information Systems,https://www.capterra.com/p/199349/EZYTREEV/,https://www.capterra.com/p/199349/EZYTREEV/,5,1,"Tree, TPO and Asset management system; efficient data collection, inventory analysis and maintenance of trees and physical assets. ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/3ecb5367-930a-441b-bcda-12d1c97f8556.png,https://www.capterra.com/arborist-software
Ad Server,Adscook,Adscook,https://www.capterra.com/p/195058/Adscook/,https://www.capterra.com/p/195058/Adscook/,5,3,Adscook is a Facebook and Instagram ads management platform that lets you launch and scale campaigns across multiple accounts.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/e5355f79-f5fa-4766-91d9-1ffe32f31b6c.png,https://www.capterra.com/ad-server-software
3D Architecture,Medium by Adobe,Adobe,https://www.capterra.com/p/238290/Medium-by-Adobe/,https://www.capterra.com/p/238290/Medium-by-Adobe/,4.8,4,"3D sculpting tool that helps create organic shapes, complex characters, abstract art and more. ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a4ba9e45-a15f-4a1d-8b7e-aea5e5ae10f0.png,https://www.capterra.com/3d-architecture-software
Accounting Practice Management,QuickBooks Online Accountant,Intuit,https://www.capterra.com/p/229996/QuickBooks-Online-Accountant/,https://www.capterra.com/p/229996/QuickBooks-Online-Accountant/,4.5,19,QuickBooks Online Accountant is a practice management solution designed to help businesses grow and manage their accounting firm. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/8ccfa249-a813-4c5f-9ecf-95a64f4ceca2.png,https://www.capterra.com/accounting-practice-management-software
Animation,GSAP,GreenSock ,https://www.capterra.com/p/235558/GSAP/,https://www.capterra.com/p/235558/GSAP/,4.5,2,"Animation solution that helps businesses animate CSS properties or canvas library objects, and resolve browser inconsistencies.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/a4268556-0690-465f-a0eb-fb0ef8c077b6.jpeg,https://www.capterra.com/animation-software
3D Cad,Siemens NX,Siemens,https://www.capterra.com/p/232212/Siemens-NX/,https://www.capterra.com/p/232212/Siemens-NX/,4.6,13,It is a flexible and powerful integrated solution that helps you deliver better products faster and more efficiently.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/e7997127-6796-4c1c-b44c-683d7dc25f31.png,https://www.capterra.com/3d-cad-software
3D Architecture,Maxwell,Next Limit,https://www.capterra.com/p/189271/Maxwell/,https://www.capterra.com/p/189271/Maxwell/,3.8,4,On-premise 3D architecture solution that provides various plug-ins for 3D/CAD and post-production applications,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/22761f01-3416-4d2f-8315-3e44b7a0bd33.png,https://www.capterra.com/3d-architecture-software
Animation,Ready Player Me,Wolf3D,https://www.capterra.com/p/237946/Ready-Player-Me/,https://www.capterra.com/p/237946/Ready-Player-Me/,5,1,Cross-game avatar platform for the metaverse. Create your personal avatar with a selfie and use it in 600+ compatible apps & games.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/49c4cd67-e6b6-433d-9f10-2889bab9f3e5.jpeg,https://www.capterra.com/animation-software
3D Cad,ZW3D,ZWSOFT,https://www.capterra.com/p/174793/ZW3D/,https://www.capterra.com/p/174793/ZW3D/,4.5,12,"ZW3D is an easy-to-learn, all-in-one 3D CAD/CAE/CAM solution that can take you through the entire product development journey from conc",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/fbcb2535-d0dd-4143-9f56-c6801181f84b.png,https://www.capterra.com/3d-cad-software
Accounting Practice Management,LedgerSync,LedgerSync,https://www.capterra.com/p/188077/LedgerSync/,https://www.capterra.com/p/188077/LedgerSync/,4.3,18,"Cloud-based solution for multi-client accountants, CPAs, and bookkeepers to extract and consolidate client's bank data.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/691e52ee-9ae9-4f92-ad9d-1f84c088a86a.png,https://www.capterra.com/accounting-practice-management-software
Animation,MotionStudio 3D,Corel,https://www.capterra.com/p/234255/MotionStudio-3D/,https://www.capterra.com/p/234255/MotionStudio-3D/,3,1,Animation solution that helps businesses add various attributes such as bevels and textures to create and edit 3D models.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/d7a338ab-78c0-45ea-bc39-df27c5a50631.jpeg,https://www.capterra.com/animation-software
Church Management,Breeze,Tithe.ly,https://www.capterra.com/p/132513/Breeze-ChMS/,https://www.capterra.com/p/132513/Breeze-ChMS/,4.9,553,"Our mission is to provide churches the most easy-to-use ChMS available, at an affordable price. With Breeze, your church can store an unlimited number of people in your database, securely check in children & print name tags, send email & text messages, offer online & text giving, run extensive reporting and much more. Best of all, there's no contract, no setup fees, and we'll even move in your existing data at no cost! Try Breeze free for 30 days - see why more than 10,000 churches love Breeze.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/4ce0e3ec-c034-42f4-b8a2-94db51fd1433.png,https://www.capterra.com/church-management-software
Ad Server,Adnuntius Advertising,Adnuntius,https://www.capterra.com/p/187360/Adnuntius-Advertising/,https://www.capterra.com/p/187360/Adnuntius-Advertising/,5,2,First-party ad server designed for networks and publishers to control monetizing their online properties.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/d48ca0d5-7d07-4e0e-8011-9d1d2fb83205.png,https://www.capterra.com/ad-server-software
Church Management,ParishSOFT,Ministry Brands,https://www.capterra.com/p/12500/ParishSOFT-Church-Management/,https://www.capterra.com/p/12500/ParishSOFT-Church-Management/,4.2,106,"ParishSOFT offers software products which allow Catholic parishes and dioceses gain access to the most reliable, up-to-date records to manage their church effectively. Church Management software that fully integrates with our online giving solution that complements your weekly envelope giving. It also includes our MinistryOne app at no additional charge! No more Quickbooks! Now you have a solution designed for the Catholic community. ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/354460aa-286e-47f2-a2dd-06efb24c186e.png,https://www.capterra.com/church-management-software
Ad Server,Adserver.Online,FlyHighSoft,https://www.capterra.com/p/199626/adserver-online/,https://www.capterra.com/p/199626/adserver-online/,3.5,2,"Comprehensive ad serving solution for publishers, ad networks/agencies. Lots of ad formats, openRTB/XML support, white-label and more.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/50aedd20-a776-4433-b798-4b80f9dfcf57.png,https://www.capterra.com/ad-server-software
3D Cad,Beyond Typicals,Beyondware,https://www.capterra.com/p/10008710/Beyond-Typicals/,https://www.capterra.com/p/10008710/Beyond-Typicals/,4.7,7,Drag-and-drop 3D typical section creator for the development of photorealistic 3D transportation project visualizations.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/0f3a7ce2-97f2-4898-89b0-3c3ae042a2ca.png,https://www.capterra.com/3d-cad-software
3D Architecture,3D Architecte,Micro Application,https://www.capterra.com/p/195133/3D-Architecte/,https://www.capterra.com/p/195133/3D-Architecte/,5,1,3D Architect is an architectural design and 2D / 3D visualization software suitable for any type of project.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/7ed96e29-5982-4d5b-b1d4-1cf49df0b6cc.png,https://www.capterra.com/3d-architecture-software
Ad Server,Ad Tech,El Toro,https://www.capterra.com/p/235551/Ad-Tech/,https://www.capterra.com/p/235551/Ad-Tech/,5,1,Ad server solution that helps businesses track IP addresses to connect with intended online customer base on a unified dashboard.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/2c400f63-e630-48fd-8e49-5b432db3f853.jpeg,https://www.capterra.com/ad-server-software
Accounting Practice Management,IRIS Accountancy Suite,IRIS Software,https://www.capterra.com/p/245933/IRIS-Accountancy-Suite/,https://www.capterra.com/p/245933/IRIS-Accountancy-Suite/,4.5,6,Accounting suite that offers enhanced compliance with new GAAP and IFRS standards for UK-based businesses.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/b14842bb-2bbe-47ba-8f81-905c52b23e3c.jpeg,https://www.capterra.com/accounting-practice-management-software
Ad Server,Managino Network,MANAGINO,https://www.capterra.com/p/253068/Managino-Network/,https://www.capterra.com/p/253068/Managino-Network/,5,1,"Cloud-based tool that enables businesses to create campaigns and run video, audio, and banner ads across all media platforms. ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/41cc23b9-3a6d-4b1a-8808-bc3e9b9410a0.jpeg,https://www.capterra.com/ad-server-software
Church Presentation,Song of Songs,Song of Songs,https://www.capterra.com/p/175068/Song-of-Songs/,https://www.capterra.com/p/175068/Song-of-Songs/,4.3,9,Software solution that can be used for churches of all sizes to control their media presentation service. 100% Free,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/e304085a-3c8b-4c43-8075-c43bb57ee93c.png,https://www.capterra.com/church-presentation-software
Anti Spam,SpamEnMoins,amneo,https://www.capterra.com/p/231548/SpamEnMoins/,https://www.capterra.com/p/231548/SpamEnMoins/,5,1,Anti-spam solution that helps organizations verify email IDs and block unwanted junk emails across multiple email accounts.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/25ce3519-9b54-4274-a785-cbff78f8680e.jpeg,https://www.capterra.com/anti-spam-software
Anti Spam,EasyCaptcha,EasyCaptcha,https://www.capterra.com/p/232067/EasyCaptcha/,https://www.capterra.com/p/232067/EasyCaptcha/,4,1,"Online solution that helps users integrate security Captcha to protect websites & businesses from online fraud, abuse, and bot attacks.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/40aafc4f-0e9c-4b4d-a1f5-416149136bde.png,https://www.capterra.com/anti-spam-software
Church Presentation,Big Screen,Launch Interactive,https://www.capterra.com/p/174105/Big-Screen/,https://www.capterra.com/p/174105/Big-Screen/,5,1,"Cross platform and easy to use during worship and church services with lyrics, videos, Bible verses, images, timers & more.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/6c665619-6e0d-420c-b497-0b4da14968d5.png,https://www.capterra.com/church-presentation-software
Church Presentation,Praisenter ,William Bittle,https://www.capterra.com/p/170171/Praisenter/,https://www.capterra.com/p/170171/Praisenter/,5,1,"Free church presentation software for easy presentation of bible verses, in-presentation overlay notifications, and customization.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/c322ada6-a921-4a67-bece-32c941ae9eed.png,https://www.capterra.com/church-presentation-software
Accounting Practice Management,Nexus1040,Nexus1040,https://www.capterra.com/p/165382/Nexus1040/,https://www.capterra.com/p/165382/Nexus1040/,3,4,"A cloud-based professional tax software, offering federal, state, individual and corporate for one low price.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/cc095379-2aec-412f-bc35-eb6f4a89b42d.png,https://www.capterra.com/accounting-practice-management-software
Church Presentation,Yet Another Sermon Host,Yet Another Sermon Host,https://www.capterra.com/p/201208/Yet-Another-Sermon-Host/,https://www.capterra.com/p/201208/Yet-Another-Sermon-Host/,5,1,The home your sermons deserve. Get your sermons online without paying a fortune. We're here to help.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/3d8a1109-b0c7-448c-873c-95de9c3c23f1.png,https://www.capterra.com/church-presentation-software
360 Degree Feedback,Empxtrack 360 Degree Feedback,Saigun Technologies,https://www.capterra.com/p/142692/360-Review/,https://www.capterra.com/p/142692/360-Review/,4.5,40,"Develop high performing and engaged teams with an easy to use, self configurable and customizable 360 Feedback tool. Start for Free!",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/50fbabd2-2cd1-4470-b9f9-839cfdec641f.jpeg,https://www.capterra.com/360-degree-feedback-software
Ad Server,Dao.ad,Dao Technology,https://www.capterra.com/p/235898/Daoad/,https://www.capterra.com/p/235898/Daoad/,4,1,Unique conversion and monetization platform for traffic. ,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/85dba915-5208-48cc-8052-771bf0fd57ae.jpeg,https://www.capterra.com/ad-server-software
Ab Testing,SplitWit,AntPace,https://www.capterra.com/p/205741/SplitWit/,https://www.capterra.com/p/205741/SplitWit/,5,1,Helps you run A/B split test on your website with a visual editor that lets you make changes on the fly.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/38189f69-381b-451c-a1bb-8b7cf24a4479.png,https://www.capterra.com/ab-testing-software
Accounting Practice Management,i-Spirit,i-Spirit,https://www.capterra.com/p/162436/i-Spirit-accounting-software/,https://www.capterra.com/p/162436/i-Spirit-accounting-software/,5,3,"Accounting software for administration of billing customers, suppliers, purchases, and sales. ",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/d0a11f81-975c-4249-8238-cbff6f0d2d3d.png,https://www.capterra.com/accounting-practice-management-software
3D Cad,AgroCAD,TECGRAF,https://www.capterra.com/p/216395/AgroCAD/,https://www.capterra.com/p/216395/AgroCAD/,5,3,AgroCAD helps architects engineers and agricultural organizations improve productivity and projects using 3D drawings & animations.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/ce7290fb-4304-4316-bcb3-e4c85c7d0184.png,https://www.capterra.com/3d-cad-software
Church Management,MinistryTracker.com,Faithlife,https://www.capterra.com/p/131630/MinistryTracker-com/,https://www.capterra.com/p/131630/MinistryTracker-com/,4.4,146,"Ministry Tracker is online church management software from Faithlife, the makers of Logos Bible Software.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/510a7b71-82a1-4826-a6c0-a56db90882e6.png,https://www.capterra.com/church-management-software
3D Cad,MakeHuman,MakeHuman,https://www.capterra.com/p/234175/MakeHuman/,https://www.capterra.com/p/234175/MakeHuman/,4.7,3,Free and open source 3D computer graphics solution that allows users to create 3D characters.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/b6509753-639d-4da8-a158-2c5cd47fcf0d.jpeg,https://www.capterra.com/3d-cad-software
3D Cad,Modo,Foundry,https://www.capterra.com/p/210761/Modo/,https://www.capterra.com/p/210761/Modo/,4.7,3,3D modeling and rendering platform designed to help businesses create 3D drawings and configure UV mapping and texturing workflows.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/161f9c5c-ee08-4e2b-9a8c-3524a6a39311.png,https://www.capterra.com/3d-cad-software
Accounting Practice Management,eZ Account Import,Zachary Systems,https://www.capterra.com/p/150920/eZ-Account-Import/,https://www.capterra.com/p/150920/eZ-Account-Import/,5,1,"Solution made to import your banking information into QuickBooks. Features include advanced data mapping, split transactions, and more.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/1d29d03c-f892-42bb-b9ea-37dd8ba6630e.png,https://www.capterra.com/accounting-practice-management-software
360 Degree Feedback,G360 Surveys,G360 Surveys,https://www.capterra.com/p/215389/G360-Surveys/,https://www.capterra.com/p/215389/G360-Surveys/,5,27,"Easy-to-use, low-priced 360 degree feedback tools that generate reports with embedded development resources to encourage growth.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/cf323920-3a21-447f-9be5-2f4118e82fcd.jpeg,https://www.capterra.com/360-degree-feedback-software
Church Management,Rock RMS,Spark Development Network,https://www.capterra.com/p/141654/Rock-RMS/,https://www.capterra.com/p/141654/Rock-RMS/,4.9,87,Rock RMS is a community supported open-source Church Management System that provides innovative features to churches of all sizes.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/e9abf7cd-ff26-49e0-8817-f99c5935dda5.png,https://www.capterra.com/church-management-software
Church Management,SimpleChurch CRM,Ministry Brands,https://www.capterra.com/p/131549/SimpleChurchCRM/,https://www.capterra.com/p/131549/SimpleChurchCRM/,4.6,50,"SimpleChurch CRM is simple, easy to use, and integrated, cloud-enabled church management software. Start your free trial today!",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/3a7eb5d7-0b37-4f94-bc58-8807a5141968.jpeg,https://www.capterra.com/church-management-software
3D Cad,3D CAD Design Services,Graphler Technology Solutions,https://www.capterra.com/p/199152/3D-CAD-Design-Services/,https://www.capterra.com/p/199152/3D-CAD-Design-Services/,5,1,"Graphler is a Product design and Engineering consulting firm.Also Specialize in 3D CAD Design , FEA Consulting Services.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/c97b4b6d-736d-42fd-845c-fe740e3efd25.png,https://www.capterra.com/3d-cad-software
Accounting,LedgerLite,Responsive Software,https://www.capterra.com/p/162030/LedgerLite/,https://www.capterra.com/p/162030/LedgerLite/,4.8,75,General Ledger & Cashbook - The World's Simplest Accounting Software - Non-Cloud-Based - No Internet Required,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/91659397-1268-4686-95e6-881e78d574e2.png,https://www.capterra.com/accounting-software
3D Cad,3D Juump Ace,Real Fusio,https://www.capterra.com/p/199587/3D-Juump-Ace/,https://www.capterra.com/p/199587/3D-Juump-Ace/,5,1,Multiformat and multifunction 3D CAD viewer. Allows you to import all natives CAD on the market.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/7fde3be1-91a2-4549-b22c-bd2fe718200d.png,https://www.capterra.com/3d-cad-software
3D Cad,3D FastView,Gstarsoft,https://www.capterra.com/p/239235/3D-FastView/,https://www.capterra.com/p/239235/3D-FastView/,5,1,"Assemble, markup, translate & compress large 3D CAD files",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/8d83d000-1b5b-4bd4-8d48-0656567c7b62.png,https://www.capterra.com/3d-cad-software
Accounts Payable,Paymode-X,Bottomline Technologies,https://www.capterra.com/p/234113/Bottomline-Paymode-X/,https://www.capterra.com/p/234113/Bottomline-Paymode-X/,4.8,25,Paymode-X serves medium-to-large enterprise businesses in the United States looking to automate core invoice and payment processes.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/74c9cfcd-5fe8-4c89-bdfc-b7ee89036a9c.png,https://www.capterra.com/accounts-payable-software
3D Cad,Adobe Substance 3D,Adobe,https://www.capterra.com/p/10002450/Adobe-Substance-3D/,https://www.capterra.com/p/10002450/Adobe-Substance-3D/,5,1,Adobe Substance 3D allows users to create state-of-the-art 3D.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/d4b57ba0-411b-4bdc-8a4d-db46961789f2.jpeg,https://www.capterra.com/3d-cad-software
3D Cad,Cadmio,CADMIO,https://www.capterra.com/p/242347/Cadmio/,https://www.capterra.com/p/242347/Cadmio/,5,1,3D CAD solution that helps businesses visualize products in preferred environments to present designs in interactive 3D.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/60f4ff5a-cba1-4cfc-8440-969dd4e58df7.jpeg,https://www.capterra.com/3d-cad-software
3D Cad,Chemdoodle,iChemLabs,https://www.capterra.com/p/210711/Chemdoodle/,https://www.capterra.com/p/210711/Chemdoodle/,5,1,"Chemical learning tool that helps school makes 3D graphics through bond stroke merging, atomic notations, chemical modeling and more.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/3914aa1e-d195-423f-a163-78164971a75e.png,https://www.capterra.com/3d-cad-software
Church Management,Logos II,Logos Management Software,https://www.capterra.com/p/2676/Logos-II-Church-Management/,https://www.capterra.com/p/2676/Logos-II-Church-Management/,3.5,19,"Church management platform that assists businesses with attendance tracking, child check-ins, contribution management, and more.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/d7a891f7-26e0-4fb3-b532-0aee272522a9.png,https://www.capterra.com/church-management-software
3D Cad,SOLIDWORKS 3D CAD,Ideas Design Solutions,https://www.capterra.com/p/10007352/SOLIDWORKS-3D-CAD/,https://www.capterra.com/p/10007352/SOLIDWORKS-3D-CAD/,5,1,"3D CAD software that lets users create 3D designs/models and manage files, simulation, rendering, and other processes.",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/b302a4d5-c557-4e38-9893-c325e9a579df.jpeg,https://www.capterra.com/3d-cad-software
360 Degree Feedback,Talent 360,Head Light,https://www.capterra.com/p/133708/Talent-360/,https://www.capterra.com/p/133708/Talent-360/,4.5,17,Gives you valuable insight into how people see their colleagues at work.,https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/1c3580d8-490d-4ce9-b356-036f694ca5a3.png,https://www.capterra.com/360-degree-feedback-software
Church Management,Excellerate,Micro System Design,https://www.capterra.com/p/13495/Excellerate-Church-Management-Software/,https://www.capterra.com/p/13495/Excellerate-Church-Management-Software/,4.9,18,"Complete Church Management Solution - Completely organize all of your church information - small groups, members, contributions & more",https://gdm-catalog-fmapi-prod.imgix.net/ProductLogo/7331fda5-107f-46e1-9344-94f891ac81b9.png,https://www.capterra.com/church-management-software
